Year,Name,Position,Age,Club Name,League Name,Matches Played,Goals,Assists,Points
1974,Hannes Löhr,Left Winger,31,1.FC Köln,Bundesliga,33,11,6,17
1974,Bosko Antić,Left Winger,29,Angers SCO,Ligue 2,31,16,0,16
1974,José Eulogio Gárate,Centre-Forward,29,Atlético Madrid,LaLiga,32,16,0,16
1974,Christian Coste,Attack,25,LOSC Lille,Ligue 1,37,16,0,16
1974,Paulo César,Central Midfield,25,Marseille,Ligue 1,31,16,0,16
1974,Bernd Nickel,Attacking Midfield,25,E. Frankfurt,Bundesliga,34,11,5,16
1974,Nestor Combin,Centre-Forward,33,AS Red Star,Championnat National,31,15,0,15
1974,Carlos Bianchi,Centre-Forward,25,Stade Reims,Ligue 1,16,15,0,15
1974,Roberto Martínez,Centre-Forward,27,Real Madrid,LaLiga,27,15,0,15
1974,Giuseppe Savoldi,Centre-Forward,27,Bologna,Serie A,28,15,0,15
1974,Sergio Clerici,Centre-Forward,33,Napoli,Serie A,29,14,1,15
1974,Giorgio Chinaglia,Centre-Forward,27,Lazio,Serie A,30,14,1,15
1974,Heinz Flohe,Attacking Midfield,26,1.FC Köln,Bundesliga,28,7,8,15
1974,Hervé Revelli,Centre-Forward,28,Saint-Étienne,Ligue 2,35,14,0,14
1974,Serge Chiesa,Attacking Midfield,23,Olympique Lyon,Ligue 1,31,14,0,14
1974,Pierino Prati,Centre-Forward,27,AS Roma,Serie A,29,14,0,14
1974,Laurent Pokou,Attack,26,Stade Rennais,Ligue 1,27,14,0,14
1974,Norbert Stolzenburg,Centre-Forward,22,TeBe Berlin,NOFV-Oberliga Nord,33,13,1,14
1974,Mustapha Dahleb,Left Winger,22,Paris SG,Ligue 1,29,13,0,13
1974,Romain Argyroudis,Attack,27,Lens,Ligue 1,34,13,0,13
1974,Stanislav Karasi,Attack,27,LOSC Lille,Ligue 1,37,13,0,13
1974,Jacky Vergnes,Centre-Forward,25,SEC Bastia,Ligue 2,29,13,0,13
1974,Wolfgang Seel,Centre-Forward,26,F. Düsseldorf,2. Bundesliga,34,13,0,13
1975,Carlos Bianchi,Centre-Forward,26,Stade Reims,Ligue 1,38,34,0,34
1975,Delio Onnis,Centre-Forward,27,Monaco,Ligue 1,33,29,0,29
1975,Klaus Fischer,Centre-Forward,25,FC Schalke 04,2. Bundesliga,34,29,0,29
1975,Hugo Curioni,Centre-Forward,28,FC Metz,Ligue 1,37,25,0,25
1975,Gerd Müller,Centre-Forward,29,Bayern Munich,Bundesliga,22,23,1,24
1975,Erich Beer,Attacking Midfield,28,Hertha BSC,2. Bundesliga,34,23,1,24
1975,Michel Platini,Attacking Midfield,20,AS Nancy,Championnat National,31,22,0,22
1975,Klaus Toppmöller,Centre-Forward,23,1.FC K'lautern,2. Bundesliga,32,22,0,22
1975,Quini,Centre-Forward,25,Sporting Gijón,LaLiga2,34,21,0,21
1975,Robert Pintenat,Centre-Forward,27,FC Sochaux,Championnat National,38,21,0,21
1975,Paolo Pulici,Centre-Forward,25,AC Torino,Serie A,29,21,0,21
1975,Héctor Yazalde,Centre-Forward,29,Marseille,Ligue 1,31,19,0,19
1975,Christian Coste,Attack,26,LOSC Lille,Ligue 1,31,19,0,19
1975,Aitor Aguirre,Attack,25,Racing,LaLiga2,34,18,0,18
1975,Serge Chiesa,Attacking Midfield,24,Olympique Lyon,Ligue 1,36,18,0,18
1975,Horst Hrubesch,Centre-Forward,24,RW Essen,3. Liga,22,18,0,18
1975,Roland Sandberg,Centre-Forward,28,1.FC K'lautern,2. Bundesliga,34,17,0,17
1975,Bernd Hölzenbein,Attacking Midfield,29,E. Frankfurt,Bundesliga,34,16,1,17
1975,Bernd Nickel,Attacking Midfield,26,E. Frankfurt,Bundesliga,33,15,2,17
1975,Wolfgang Frank,Centre-Forward,24,E. Braunschweig,2. Bundesliga,34,16,0,16
1975,Gilles Rampillon,Attacking Midfield,21,FC Nantes,Ligue 1,33,16,0,16
1975,Allan Simonsen,Second Striker,22,Bor. M'gladbach,Bundesliga,34,16,0,16
1975,Nico Braun,Centre-Forward,24,FC Metz,Ligue 1,31,16,0,16
1975,Francesco Graziani,Centre-Forward,22,AC Torino,Serie A,28,15,1,16
1975,Manfred Burgsmüller,Attacking Midfield,25,RW Essen,3. Liga,30,14,2,16
1975,Hannes Löhr,Left Winger,32,1.FC Köln,Bundesliga,30,15,0,15
1975,Jacques Zimako,Left Winger,23,SEC Bastia,Ligue 2,35,15,0,15
1975,Gérard Soler,Centre-Forward,21,FC Sochaux,Championnat National,34,15,0,15
1975,Roberto Bettega,Centre-Forward,24,Juventus,Serie A,28,15,0,15
1975,Joachim Marx,Centre-Forward,30,Lens,Ligue 1,26,15,0,15
1975,Egidio Calloni,Centre-Forward,22,Milan,Serie A,25,13,2,15
1975,Jupp Heynckes,Centre-Forward,30,Bor. M'gladbach,Bundesliga,24,12,3,15
1975,Luciano Chiarugi,Left Winger,28,Milan,Serie A,23,7,8,15
1975,Erwin Kostedde,Centre-Forward,29,Hertha BSC,2. Bundesliga,26,14,0,14
1975,Giuseppe Savoldi,Centre-Forward,28,Napoli,Serie A,28,14,0,14
1975,Dieter Müller,Centre-Forward,21,1.FC Köln,Bundesliga,19,14,0,14
1975,Bernd Gersdorff,Attacking Midfield,28,E. Braunschweig,2. Bundesliga,29,13,1,14
1975,Ronald Worm,Centre-Forward,21,MSV Duisburg,3. Liga,31,12,2,14
1975,Pirri,Defensive Midfield,30,Real Madrid,LaLiga,31,13,0,13
1975,Rüdiger Wenzel,Centre-Forward,22,E. Frankfurt,Bundesliga,33,13,0,13
1975,Alain Giresse,Attacking Midfield,22,G. Bordeaux,Ligue 2,30,13,0,13
1975,Santillana,Centre-Forward,22,Real Madrid,LaLiga,30,12,0,12
